num_passengers,sales_channel,trip_type,purchase_lead,length_of_stay,flight_hour,flight_day,route,booking_origin,booking_destination,wants_extra_baggage,wants_preferred_seat,wants_in_flight_meals,flight_duration,booking_complete,origin,destination,country_route
1,Internet,RoundTrip,21,12,6,Tue,AKLHGH,New Zealand,China,0,0,0,7.21,1,AKL,HGH,New Zealand to China
1,Internet,RoundTrip,15,31,17,Mon,AKLKUL,New Zealand,Malaysia,0,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,156,19,14,Mon,AKLKUL,New Zealand,Malaysia,1,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,181,87,2,Tue,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Mobile,RoundTrip,127,17,16,Tue,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,42,17,14,Tue,AKLKUL,New Zealand,Malaysia,0,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,22,180,13,Thu,AKLKUL,New Zealand,Malaysia,1,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
3,Internet,RoundTrip,229,17,13,Mon,AKLKUL,New Zealand,Malaysia,1,1,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,10,91,23,Tue,AKLKUL,New Zealand,Malaysia,1,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,99,21,13,Sun,AKLKUL,New Zealand,Malaysia,0,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,142,124,9,Wed,AKLKUL,New Zealand,Malaysia,1,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,34,22,13,Tue,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,59,35,13,Sun,AKLKUL,New Zealand,Malaysia,0,1,0,8.83,1,AKL,KUL,New Zealand to Malaysia
4,Internet,RoundTrip,316,22,14,Thu,AKLKUL,New Zealand,Malaysia,1,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
5,Internet,RoundTrip,67,35,2,Tue,AKLKUL,New Zealand,Malaysia,1,1,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,225,25,6,Tue,AKLKUL,New Zealand,Malaysia,1,1,0,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Internet,RoundTrip,245,27,11,Mon,AKLKUL,New Zealand,Malaysia,0,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Internet,RoundTrip,235,18,22,Tue,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Internet,RoundTrip,56,42,4,Thu,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Internet,RoundTrip,14,17,10,Sat,AKLKUL,New Zealand,Malaysia,1,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Mobile,RoundTrip,22,82,10,Fri,AKLKUL,New Zealand,Malaysia,1,1,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,218,17,2,Fri,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
4,Internet,RoundTrip,211,21,10,Fri,AKLKUL,New Zealand,Malaysia,1,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,259,82,9,Sun,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
5,Internet,RoundTrip,188,17,12,Thu,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,15,28,7,Sun,AKLKUL,New Zealand,Malaysia,0,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,14,275,3,Wed,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,3,36,16,Sun,AKLKUL,New Zealand,Malaysia,0,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Internet,RoundTrip,9,44,8,Fri,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,95,83,6,Wed,AKLKUL,New Zealand,Malaysia,0,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,222,23,9,Sat,AKLKUL,New Zealand,Malaysia,0,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Internet,RoundTrip,64,29,12,Mon,AKLKUL,New Zealand,Malaysia,1,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,13,18,9,Fri,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,197,19,3,Mon,AKLKUL,New Zealand,Malaysia,0,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Internet,RoundTrip,368,65,2,Sun,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,189,33,11,Fri,AKLKUL,New Zealand,Malaysia,1,1,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,410,25,13,Sat,AKLKUL,New Zealand,Malaysia,1,1,0,8.83,1,AKL,KUL,New Zealand to Malaysia
3,Internet,RoundTrip,95,24,8,Tue,AKLKUL,New Zealand,Malaysia,1,1,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,111,42,7,Mon,AKLKUL,New Zealand,Malaysia,1,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Mobile,RoundTrip,162,18,4,Thu,AKLKUL,New Zealand,Malaysia,0,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Internet,RoundTrip,9,54,7,Thu,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Internet,RoundTrip,109,21,17,Sun,AKLKUL,New Zealand,Malaysia,1,1,1,8.83,1,AKL,KUL,New Zealand to Malaysia
4,Internet,RoundTrip,192,20,6,Sun,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Internet,RoundTrip,326,22,12,Sun,AKLKUL,New Zealand,Malaysia,0,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
3,Internet,RoundTrip,32,23,15,Wed,AKLKUL,New Zealand,Malaysia,1,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,162,18,11,Tue,AKLKUL,New Zealand,Malaysia,1,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
5,Internet,RoundTrip,97,21,10,Wed,AKLKUL,New Zealand,Malaysia,1,1,0,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Internet,RoundTrip,71,30,6,Mon,AKLKUL,New Zealand,Malaysia,1,1,0,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Internet,RoundTrip,163,35,12,Fri,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,30,85,15,Fri,AKLKUL,New Zealand,Malaysia,1,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,6,18,6,Tue,AKLKUL,New Zealand,Malaysia,1,0,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,66,203,7,Wed,AKLKUL,New Zealand,Malaysia,0,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,186,19,15,Sun,AKLKUL,New Zealand,Malaysia,0,0,0,8.83,1,AKL,KUL,New Zealand to Malaysia
2,Internet,RoundTrip,250,30,12,Wed,AKLKUL,New Zealand,Malaysia,1,1,1,8.83,1,AKL,KUL,New Zealand to Malaysia
1,Internet,RoundTrip,285,20,14,Wed,AKLKUL,New Zealand,Malaysia,1,1,0,8.83,1,AKL,KUL,New Zealand to Malaysia
